timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734102701630,21116,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to cse.buet.ac.bd:8080 [cse.buet.ac.bd/103.94.135.240] failed: Connection timed out: connect,Thread 1-1,text,false,"The operation lasted too long: It took 21,116 milliseconds, but should not have lasted longer than 400 milliseconds.",2758,0,11,11,https://cse.buet.ac.bd:8080/home/notice,0,0,21115
1734102722769,705,Moodle/canonical.html-1,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 705 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,12,12,http://detectportal.firefox.com/canonical.html,705,0,618
1734102723476,171,Moodle/success.txt-3,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv6,171,0,0
1734102723648,200,Moodle/success.txt-2,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv4,200,0,0
1734102703456,21040,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to cse.buet.ac.bd:8080 [cse.buet.ac.bd/103.94.135.240] failed: Connection timed out: connect,Thread 1-2,text,false,"The operation lasted too long: It took 21,040 milliseconds, but should not have lasted longer than 400 milliseconds.",2758,0,12,12,https://cse.buet.ac.bd:8080/home/notice,0,0,21040
1734102723850,919,Moodle/moodle/-4,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 919 milliseconds, but should not have lasted longer than 400 milliseconds.",12664,740,12,12,https://cse.buet.ac.bd/moodle/,13,0,4
1734102723850,13,Moodle/moodle/-4-0,301,Moved Permanently,Thread 1-1,text,true,,585,370,12,12,http://cse.buet.ac.bd/moodle/,13,0,4
1734102723873,896,Moodle/moodle/-4-1,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 896 milliseconds, but should not have lasted longer than 400 milliseconds.",12079,370,12,12,https://cse.buet.ac.bd/moodle/,891,0,655
1734102724497,302,Moodle/canonical.html-1,200,OK,Thread 1-2,text,true,,298,303,12,12,http://detectportal.firefox.com/canonical.html,302,0,231
1734102724801,176,Moodle/success.txt-3,200,OK,Thread 1-2,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv6,176,0,0
1734102724770,209,Moodle/canonical.html-5,200,OK,Thread 1-1,text,true,,298,303,12,12,http://detectportal.firefox.com/canonical.html,209,0,0
1734102724978,201,Moodle/success.txt-2,200,OK,Thread 1-2,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv4,201,0,0
1734102724980,199,Moodle/success.txt-7,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv6,199,0,0
1734102725182,229,Moodle/success.txt-6,200,OK,Thread 1-1,text,true,,216,320,12,12,http://detectportal.firefox.com/success.txt?ipv4,229,0,0
1734102725181,449,Moodle/moodle/-4,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 449 milliseconds, but should not have lasted longer than 400 milliseconds.",12665,740,13,13,https://cse.buet.ac.bd/moodle/,12,0,4
1734102725181,12,Moodle/moodle/-4-0,301,Moved Permanently,Thread 1-2,text,true,,585,370,13,13,http://cse.buet.ac.bd/moodle/,12,0,4
1734102725194,436,Moodle/moodle/-4-1,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 436 milliseconds, but should not have lasted longer than 400 milliseconds.",12080,370,13,13,https://cse.buet.ac.bd/moodle/,434,0,215
1734102725412,224,Moodle/canonical.html-8,200,OK,Thread 1-1,text,true,,298,303,13,13,http://detectportal.firefox.com/canonical.html,224,0,0
1734102725637,261,Moodle/success.txt-10,200,OK,Thread 1-1,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv6,261,0,0
1734102725633,272,Moodle/canonical.html-5,200,OK,Thread 1-2,text,true,,298,303,13,13,http://detectportal.firefox.com/canonical.html,272,0,0
1734102725906,195,Moodle/success.txt-7,200,OK,Thread 1-2,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv6,195,0,0
1734102725900,206,Moodle/success.txt-9,200,OK,Thread 1-1,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv4,206,0,0
1734102726102,205,Moodle/success.txt-6,200,OK,Thread 1-2,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv4,204,0,0
1734102726107,200,Moodle/canonical.html-11,200,OK,Thread 1-1,text,true,,298,303,13,13,http://detectportal.firefox.com/canonical.html,200,0,0
1734102726308,136,Moodle/success.txt-12,200,OK,Thread 1-1,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv4,136,0,0
1734102726309,138,Moodle/canonical.html-8,200,OK,Thread 1-2,text,true,,298,303,13,13,http://detectportal.firefox.com/canonical.html,138,0,0
1734102705443,21056,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to cse.buet.ac.bd:8080 [cse.buet.ac.bd/103.94.135.240] failed: Connection timed out: connect,Thread 1-3,text,false,"The operation lasted too long: It took 21,056 milliseconds, but should not have lasted longer than 400 milliseconds.",2758,0,13,13,https://cse.buet.ac.bd:8080/home/notice,0,0,21056
1734102726445,276,Moodle/success.txt-13,200,OK,Thread 1-1,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv6,276,0,0
1734102726448,273,Moodle/success.txt-10,200,OK,Thread 1-2,text,true,,216,320,13,13,http://detectportal.firefox.com/success.txt?ipv6,273,0,0
1734102726502,629,Moodle/canonical.html-1,200,OK,Thread 1-3,text,false,"The operation lasted too long: It took 629 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,13,13,http://detectportal.firefox.com/canonical.html,629,0,214
1734102726724,407,Moodle/canonical.html-14,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 407 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,13,13,http://detectportal.firefox.com/canonical.html,407,0,0
1734102726723,414,Moodle/success.txt-9,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 414 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,13,13,http://detectportal.firefox.com/success.txt?ipv4,414,0,0
1734102727134,403,Moodle/success.txt-15,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 403 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv4,403,0,0
1734102727133,408,Moodle/success.txt-3,200,OK,Thread 1-3,text,false,"The operation lasted too long: It took 408 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv6,408,0,0
1734102727138,409,Moodle/canonical.html-11,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 409 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,14,14,http://detectportal.firefox.com/canonical.html,409,0,0
1734102727538,518,Moodle/success.txt-16,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 518 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv6,518,0,0
1734102727542,514,Moodle/success.txt-2,200,OK,Thread 1-3,text,false,"The operation lasted too long: It took 514 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv4,514,0,0
1734102727547,515,Moodle/success.txt-12,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 515 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv4,515,0,0
1734102707436,21018,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to cse.buet.ac.bd:8080 [cse.buet.ac.bd/103.94.135.240] failed: Connection timed out: connect,Thread 1-4,text,false,"The operation lasted too long: It took 21,018 milliseconds, but should not have lasted longer than 400 milliseconds.",2758,0,14,14,https://cse.buet.ac.bd:8080/home/notice,0,0,21018
1734102728057,546,Moodle/canonical.html-17,200,OK,Thread 1-1,text,false,"The operation lasted too long: It took 546 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,14,14,http://detectportal.firefox.com/canonical.html,546,0,0
1734102728063,545,Moodle/success.txt-13,200,OK,Thread 1-2,text,false,"The operation lasted too long: It took 545 milliseconds, but should not have lasted longer than 400 milliseconds.",216,320,14,14,http://detectportal.firefox.com/success.txt?ipv6,544,0,0
1734102728604,275,Moodle/success.txt-18,200,OK,Thread 1-1,text,true,,216,320,14,14,http://detectportal.firefox.com/success.txt?ipv4,272,0,0
1734102728459,425,Moodle/canonical.html-1,200,OK,Thread 1-4,text,false,"The operation lasted too long: It took 425 milliseconds, but should not have lasted longer than 400 milliseconds.",298,303,14,14,http://detectportal.firefox.com/canonical.html,425,0,98
1734102728608,281,Moodle/canonical.html-14,200,OK,Thread 1-2,text,true,,298,303,14,14,http://detectportal.firefox.com/canonical.html,281,0,0
1734102728060,1119,Moodle/moodle/-4,200,OK,Thread 1-3,text,false,"The operation lasted too long: It took 1,119 milliseconds, but should not have lasted longer than 400 milliseconds.",12664,740,14,14,https://cse.buet.ac.bd/moodle/,502,0,21
1734102728060,503,Moodle/moodle/-4-0,301,Moved Permanently,Thread 1-3,text,false,"The operation lasted too long: It took 503 milliseconds, but should not have lasted longer than 400 milliseconds.",585,370,14,14,http://cse.buet.ac.bd/moodle/,502,0,21
1734102728564,615,Moodle/moodle/-4-1,200,OK,Thread 1-3,text,false,"The operation lasted too long: It took 615 milliseconds, but should not have lasted longer than 400 milliseconds.",12079,370,14,14,https://cse.buet.ac.bd/moodle/,614,0,314
